"Market-wise, Commodity-wise Daily Report on: 19-Dec-2025"

Commodity,Arrivals,Unit of Arrivals,Variety,Grade,Minimum Price,Maximum Price,Modal Price,Unit of Price
State Name : Maharashtra
Market Name : ACF Agro Marketing  APMC
Cotton,116.0,Metric Tonnes,Other,Local,7710.0,8060.0,7900.0,Rs./Quintal
Market Name : Hanegaon APMC
Not Reported
Market Name : Hari Har Khajagi Bazar Parisar APMC
Not Reported
Market Name : Higanghat Infrastructure Private Limited APMC
Not Reported
Market Name : Himalyatnagar APMC
Not Reported
Market Name : Hinganghat APMC
Arhar(Tur/Red Gram)(Whole),33.6,Metric Tonnes,Other,Non-FAQ,5700.0,6900.0,6320.0,Rs./Quintal
Bengal Gram(Gram)(Whole),33.6,Metric Tonnes,Other,Non-FAQ,4800.0,5215.0,5000.0,Rs./Quintal
Cotton,775.4,Metric Tonnes,Other,Non-FAQ,7200.0,7705.0,7470.0,Rs./Quintal
Cotton,74.6,Metric Tonnes,Other,FAQ,7710.0,8060.0,7825.0,Rs./Quintal
"Sesamum(Sesame,Gingelly,Til)",0.2,Metric Tonnes,Gajjar,Non-FAQ,7500.0,8060.0,7800.0,Rs./Quintal
Soyabean,174.0,Metric Tonnes,Yellow,Non-FAQ,3100.0,4760.0,3780.0,Rs./Quintal
Wheat,14.3,Metric Tonnes,Other,Non-FAQ,2160.0,2420.0,2280.0,Rs./Quintal
Wheat,8.2,Metric Tonnes,Other,FAQ,2425.0,2465.0,2445.0,Rs./Quintal
Market Name : Hingna APMC
Cotton,7.5,Metric Tonnes,Other,FAQ,7899.0,7979.0,7979.0,Rs./Quintal
Market Name : Hingoli APMC
NIL Transaction
Market Name : Hingoli(Kanegoan Naka) APMC
Soyabean,24.1,Metric Tonnes,Yellow,Non-FAQ,4050.0,4500.0,4275.0,Rs./Quintal
Market Name : Indapur APMC
Not Reported
Market Name : Indapur(Bhigwan) APMC
Not Reported
